key,en,fr
intro_txt,"    Damn it, IT is back. The strange and dark Snake is here again. Everything was fine. I was calm and serene. Why does IT always have to get back to me? Why does IT have to ensnare my soul without my consent? Why does IT have to throw me in this world of desolation? What does IT want me to understand? I believe it is related to death and what's beyond.","    Et merde ça recommence, l'étrange et sombre Serpent est de retour. Tout allait si bien. J'étais calme et apaisé. Pourquoi faut-il toujours qu'IL se rappelle à moi ? Qu'IL prenne possession de mon âme sans mon consentement et qu'IL me jette dans un monde en désolation ? Que cherche t-IL à me faire comprendre ? Je crois que ça a un rapport avec la mort et ce qu'il y a au delà."
transi_txt,"Reality is a conspiracy Everything is fake Only the void states the truth The road of emptiness is the only way However, it is but a dead end Reality is a conspiracy Everything is fake Only the void states the truth The road of emptiness is the only way However, it is but a dead end Reality is a conspiracy Everything is fake Only the void states the truth The road of emptiness is the only way However, it is but a dead end Reality is a conspiracy Everything is fake Only the void states the truth The road of emptiness is the only way However, it is but a dead end Reality is a conspiracy Everything is fake Only the void states the truth The road of emptiness is the only way However, it is but a dead end Reality is a conspiracy Everything is fake Only the void states the truth The road of emptiness is the only way However, it is but a dead end ",La réalité est une conspiration Reality is FAKE Tout est faux Seul le néant dit la vérité La Voie du Vide est l'unique chemin Mais ce chemin est sans issue La réalité est une conspiration Reality is FAKE Tout est faux Seul le néant dit la vérité La Voie du Vide est l'unique chemin Mais ce chemin est sans issue La réalité est une conspiration Reality is FAKE Tout est faux Seul le néant dit la vérité La Voie du Vide est l'unique chemin Mais ce chemin est sans issue La réalité est une conspiration Reality is FAKE Tout est faux Seul le néant dit la vérité La Voie du Vide est l'unique chemin Mais ce chemin est sans issue La réalité est une conspiration Reality is FAKE Tout est faux Seul le néant dit la vérité La Voie du Vide est l'unique chemin Mais ce chemin est sans issue 
loophole_txt,There is a loophole that only a few selected ones know of,Il existe une faille dont certains initiés ont le Secret
pnj_txt2,Truth is impenetrable! Your thirst for knowledge will kill you.,La vérité est impénétrable ! Ton désire de savoir te tuera.
know_txt,"Those who know, they stay silent",Ceux qui savent se taisent
pnj_txt1,"Beware of ITs extreme power of hypnosis. Me? I did manage to free myself from IT. After a long moment of reflection, I finaly emerge.","Méfie-toi de Son puissant pouvoir d'hypnose. Moi, je me suis libéré de Son emprise. Après un songe sans fin, je me réveille enfin."
72_txt_1,Meadows report released in 1972...,Rapport Meadows publié en 1972...
72_txt_2,Last man on the moon in 1972...,Dernier homme sur la Lune en 1972...
72_txt_3,DXM recalled in the US IN 1972...,DXM retiré de la vente aux US en 1972...
72_txt_4,The blue marble photographed in 1972...,The Blue Marble photographié en 1972...
72_txt_5,End of the MK ultra program in 1972...,fin du programme MK-Ultra en 1972...
72_txt_6,Karp's 21 NP-complete problems in 1972...,démonstration des 21 problèmes NP-complets de Karp en 1972...
72_txt_7,Invention of the C language in 1972...,invention du langage C en 1972...
72_txt_8,First demonstration of ARPANET in 1972...,première démonstration officielle d'ARPANET en 1972...
enjoy_txt,Enjoy the Void,Enjoy the Void
press_start_txt,Press any button to make a new leap of faith,Appuyez sur n'importe quel bouton pour vous lancer dans l'Inconnu
loading_txt,Loading...,Chargement...
no_end_txt,I suppose ITs imagination is just a bottomless source of power?,Je suppose que Son imagination est un puissant fond ?
